记录ID,原始焊接方法,母材范围,板厚下限_mm,板厚上限_mm,焊接材料,规格直径_mm,焊接位置,焊层/电极,电流下限_A,电流上限_A,电压下限_V,电压上限_V,焊接速度下限_cm_min,焊接速度上限_cm_min,送丝速度下限_m_min,送丝速度上限_m_min,保护气体流量下限_L_min,保护气体流量上限_L_min,接头适用,数据类型,数据可信度,核验状态,来源名称,来源类型,来源链接,模型用途,备注,标准焊接方法,ISO4063,ExcelRow
WELD-011,CO₂气体保护焊,A～EH36,10.0,40.0,T492T1-1C1A,1.2,平焊、横焊、仰焊,填充,170,220,22.0,26.0,9.0,10.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,12
WELD-012,CO₂气体保护焊,A～EH36,10.0,40.0,T492T1-1C1A,1.2,平焊、横焊、仰焊,盖面,170,200,22.0,26.0,11.0,14.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,13
WELD-013,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,Hyundai SF-71 / AWS A5.20 E71T-1C,1.2,全位置,通用,110,280,,,,,,,,,厂家通用，未绑定板厚/坡口,厂家焊材约束,高,已核验厂家页面,Hyundai Welding SF-71,厂家官方产品页,https://products.hyundaiwelding.com/product/detail.php?cat=4&idx=5078&sub=0,Constraint,1.2 mm焊丝官方电流范围；100% CO₂；适用于造船等,MAG（药芯焊丝/CO₂）,136,14
WELD-014,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,Hyundai SF-71 eco / AWS A5.20 E71T-1C,1.2,平焊/横角焊（F & HF）,通用,120,330,,,,,,,,,厂家位置工艺窗口,厂家焊材约束,高,已核验厂家PDF,Hyundai Welding SF-71 eco,厂家官方技术资料,https://hyundaiwelding.com/data/file/download/brochures/Hyundai_Welding_SF-71%20eco_Flyer_2025.pdf,Constraint,1.2 mm，100% CO₂，F & HF推荐电流范围,MAG（药芯焊丝/CO₂）,136,15
WELD-015,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,Hyundai SF-71 eco / AWS A5.20 E71T-1C,1.2,立向上/仰焊,通用,120,240,,,,,,,,,厂家位置工艺窗口,厂家焊材约束,高,已核验厂家PDF,Hyundai Welding SF-71 eco,厂家官方技术资料,https://hyundaiwelding.com/data/file/download/brochures/Hyundai_Welding_SF-71%20eco_Flyer_2025.pdf,Constraint,1.2 mm，100% CO₂，Vertical up & Overhead推荐电流范围,MAG（药芯焊丝/CO₂）,136,16
WELD-016,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,Hyundai SF-71 eco / AWS A5.20 E71T-1C,1.2,立向下,通用,200,280,,,,,,,,,厂家位置工艺窗口,厂家焊材约束,高,已核验厂家PDF,Hyundai Welding SF-71 eco,厂家官方技术资料,https://hyundaiwelding.com/data/file/download/brochures/Hyundai_Welding_SF-71%20eco_Flyer_2025.pdf,Constraint,1.2 mm，100% CO₂，Vertical down推荐电流范围,MAG（药芯焊丝/CO₂）,136,17
WELD-017,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,Hyundai SF-71 eco / AWS A5.20 E71T-1C,1.2,1G/PA厂家典型条件,典型点,200,200,26.0,26.0,,,10.2,10.2,,,厂家典型点，未绑定板厚/坡口,厂家典型工况,高,已核验厂家PDF,Hyundai Welding SF-71 eco,厂家官方技术资料,https://hyundaiwelding.com/data/file/download/brochures/Hyundai_Welding_SF-71%20eco_Flyer_2025.pdf,Consistency Check,200 A / 26 V / WFS 10.2 m/min,MAG（药芯焊丝/CO₂）,136,18
WELD-018,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,Hyundai SF-71 eco / AWS A5.20 E71T-1C,1.2,1G/PA厂家典型条件,典型点,250,250,28.0,28.0,,,11.5,11.5,,,厂家典型点，未绑定板厚/坡口,厂家典型工况,高,已核验厂家PDF,Hyundai Welding SF-71 eco,厂家官方技术资料,https://hyundaiwelding.com/data/file/download/brochures/Hyundai_Welding_SF-71%20eco_Flyer_2025.pdf,Consistency Check,250 A / 28 V / WFS 11.5 m/min,MAG（药芯焊丝/CO₂）,136,19
WELD-019,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,Hyundai SF-71 eco / AWS A5.20 E71T-1C,1.2,1G/PA厂家典型条件,典型点,300,300,32.0,32.0,,,15.3,15.3,,,厂家典型点，未绑定板厚/坡口,厂家典型工况,高,已核验厂家PDF,Hyundai Welding SF-71 eco,厂家官方技术资料,https://hyundaiwelding.com/data/file/download/brochures/Hyundai_Welding_SF-71%20eco_Flyer_2025.pdf,Consistency Check,300 A / 32 V / WFS 15.3 m/min,MAG（药芯焊丝/CO₂）,136,20
WELD-020,FCAW / CO₂气体保护焊,Mild steel & 490 MPa high tensile steels,,,"Hyundai Supercored 71H / AWS A5.20 E71T-1C,-9C-J",1.2,1G/2F/3G/4G（全位置）,通用,110,280,,,,,,,,,厂家通用，适用于造船；未绑定具体板厚/坡口,厂家焊材约束,高,已核验厂家官方页面,Hyundai Welding Supercored 71H,厂家官方产品页,https://products.hyundaiwelding.com/product/detail.php?cat=4&idx=5826&sub=0,Constraint,Φ1.2 mm；100% CO₂；DCEP；官方列出1G/2F/3G/4G和造船应用。用于约束与一致性检查，不作为具体板厚训练样本。,MAG（药芯焊丝/CO₂）,136,21
WELD-021,药芯焊丝CO₂气体保护窄间隙焊,AH36等高强度船体结构钢,20.0,,船级社认可的CO₂气保药芯焊丝,,1G/3G,打底,210,250,27.0,31.0,11.0,13.0,,,,,厚板窄间隙对接、陶瓷衬垫,团体标准工艺约束,高,已核验团体标准全文,T/SWS 0001—2023《集装箱船高强度钢窄间隙焊接工艺标准》,上海市焊接学会团体标准,https://shws.org/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/kjqk/2023/%E3%80%8A%E7%84%8A%E6%8E%A5%E7%94%9F%E4%BA%A7%E4%B8%8E%E5%BA%94%E7%94%A8%E3%80%8B2023%E5%B9%B4%E7%AC%AC3%E6%9C%9F%E7%BD%91%E7%BB%9C%E7%A8%BF4.pdf,Constraint,适用于厚度≥20 mm的AH36等船体钢；CO₂纯度≥99.8%；推荐装配间隙11/12/13 mm；干伸长20–30 mm；坡口为窄间隙形式，不能直接当作单V训练样本。,MAG（药芯焊丝/CO₂）,136,22
WELD-022,药芯焊丝CO₂气体保护窄间隙焊,AH36等高强度船体结构钢,20.0,,船级社认可的CO₂气保药芯焊丝,,1G/3G,填充,280,320,31.0,35.0,18.0,24.0,,,,,厚板窄间隙对接、陶瓷衬垫,团体标准工艺约束,高,已核验团体标准全文,T/SWS 0001—2023《集装箱船高强度钢窄间隙焊接工艺标准》,上海市焊接学会团体标准,https://shws.org/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/kjqk/2023/%E3%80%8A%E7%84%8A%E6%8E%A5%E7%94%9F%E4%BA%A7%E4%B8%8E%E5%BA%94%E7%94%A8%E3%80%8B2023%E5%B9%B4%E7%AC%AC3%E6%9C%9F%E7%BD%91%E7%BB%9C%E7%A8%BF4.pdf,Constraint,适用于厚度≥20 mm的AH36等船体钢；干伸长20–30 mm；窄间隙工艺，与当前单V目标工况分开使用。,MAG（药芯焊丝/CO₂）,136,23
WELD-023,药芯焊丝CO₂气体保护窄间隙焊,AH36等高强度船体结构钢,20.0,,船级社认可的CO₂气保药芯焊丝,,1G/3G,盖面,260,300,28.0,32.0,27.0,34.0,,,,,厚板窄间隙对接、陶瓷衬垫,团体标准工艺约束,高,已核验团体标准全文,T/SWS 0001—2023《集装箱船高强度钢窄间隙焊接工艺标准》,上海市焊接学会团体标准,https://shws.org/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/kjqk/2023/%E3%80%8A%E7%84%8A%E6%8E%A5%E7%94%9F%E4%BA%A7%E4%B8%8E%E5%BA%94%E7%94%A8%E3%80%8B2023%E5%B9%B4%E7%AC%AC3%E6%9C%9F%E7%BD%91%E7%BB%9C%E7%A8%BF4.pdf,Constraint,适用于厚度≥20 mm的AH36等船体钢；干伸长15–25 mm；窄间隙工艺，用作厚板参数边界参考。,MAG（药芯焊丝/CO₂）,136,24
WELD-024,FCAW（商用船舶手工/半自动焊）,ABS AH36 / DH36,,,ABS 3YSA H10 类；近似 AWS E71T-1C H8 / E71T-1M H8,,全位置,通用,170,250,23.0,26.0,,,,,,,商用船舶AH36/DH36焊接；未绑定具体板厚/坡口,行业官方工艺约束,高,已核验AWS官方文章,Selecting Materials and Filler Metals for Commercial Shipbuilding,American Welding Society官方技术文章,https://www.aws.org/magazines-and-media/welding-digest/2026/july/selecting-materials-and-filler-metals-for-commercial-shipbuilding,Constraint,AWS明确指出AH36/DH36手工焊常用70 ksi级FCAW焊丝；0.045/0.052 in焊丝约170–250 A、23–26 V，可用100% CO₂或75%Ar/25%CO₂，DCEP，全位置。用于AH36模型输出合理性检查，不作为具体板厚训练样本。,MAG（药芯焊丝/活性气体）,136,25
